folder,domain_id,value,display_name,description
,admission,1,Dehydration requiring intravenous fluid,
,admission,2,Dehydration requiring admission,
,admission,3,Bleeding requiring admission,
,admission,4,Bleeding requiring return to operating room,
,admission,5,Other admission,
,admission,98,Other,
,agelevel,1,School-age-level (ages 7.0 - 17.11),
,agelevel,2,Out-of-level (ages 5.0 - 6.11),
allergies,cats,3,Checked,
allergies,dogs,7,Checked,
allergies,dust,5,Checked,
allergies,food,8,Checked,
allergies,grass,6,Checked,
allergies,insects,4,Checked,
allergies,latex,9,Checked,
allergies,molds,1,Checked,
allergies,other,98,Checked,
allergies,trees,2,Checked,
,alwaysornever,0,Never,
,alwaysornever,1,Rarely (less than once a week),
,alwaysornever,2,Sometimes (1 to 2 times per week),
,alwaysornever,3,Frequently (3 to 4 times per week),
,alwaysornever,4,Always or almost always (5 to 7 times per week),
,alwaysornever,88,Not sure,
,ampm,1,AM,
,ampm,2,PM,
,capnographtype,0,No capnography collected,
,capnographtype,1,Novametrix,
,capnographtype,2,BCI,
,cat_pctco2g50,1,< 25,
,cat_pctco2g50,2,>= 25,
,chance,0,No chance of dozing,
,chance,1,Slight chance of dozing,
,chance,2,Moderate chance of dozing,
,chance,3,High chance of dozing,
,check,0,Not checked,
,check,1,Checked,
,checked,2,Checked,
,childageyear1,1,5 - 7 years old,
,childageyear1,2,8 - 10 years old,
,childfunction,1,Morning,
,childfunction,2,Afternoon,
,childfunction,3,Evening,
,childfunction,4,No best time,
,childrace,1,American Indian / Native Alaskan,
,childrace,2,Asian,
,childrace,3,Native Hawaiian / Other Pacific Islander,
,childrace,4,Black / African American,
,childrace,5,White / Caucasian,
,childrace,6,Multiracial,
,childrace,7,Other,
,childrace,98,Not sure,
,class,1,Class I,
,class,2,Class II,
,class,3,Class III,
,class,4,Class IV,
,class,99,Not done,
,cluster,13,Site 13,
,cluster,46,Site 46,
,cluster,57,Site 57,
,cluster,64,Site 64,
,cluster,73,Site 73,
,cluster,82,Site 82,
,completedform,1,Biological parent,
,completedform,2,Adoptive parent,
,completedform,3,Step parent,
,completedform,4,Foster parent,
,completedform,5,Grandparent,
,completedform,98,Other,
,crossover,1,Crossover due to confirmed treatment failure,
,crossover,2,Crossover due to parent / caregiver decision,
,crp,0,No,C-reactive protein levels fall below the detection limit of 0.15 micrograms per milliliter
,crp,1,Yes,C-reactive protein levels fall above the detection limit of 0.15 micrograms per milliliter
,drink,0,None,
,drink,1,Less than one cup per day,
,drink,2,Approximately one cup (8 oz) per day,
,drink,3,"More than one cup, but not more than three cups per day",
,drink,4,More than three cups per day,
,drinksperday,0,None,
,drinksperday,1,Less than one cup per day,
,drinksperday,2,Approximately one cup (8 oz) per day,
,drinksperday,3,"More than one cup, but not more than three cups per day",
,drinksperday,4,More than three cups per day,
,education,1,11th grade or less,
,education,2,"High school, GED, or vocational school",
,education,3,Some college,
,education,4,Bachelor's,
,education,5,Postgraduate,
,education_rc,1,Some high school education or high school diploma / GED,
,education_rc,2,Associate degree or some college,
,education_rc,3,College degree or advanced degree,
,eligible,0,Ineligible,
,eligible,1,Eligible,
,employment,1,Working full-time (35 or more hours per week),
,employment,2,Working part-time (35 or less hours per week),
,employment,3,Home keeper,
,employment,4,"Unemployed, looking for work",
,employment,5,"Unemployed, not looking for work",
,employment,6,Student,
,employment,7,Retired,
,employment,8,Unable to work,
,employment,88,Not sure,
,ethnicity,1,Hispanic or Latino,
,ethnicity,2,Not Hispanic or Latino,
,ethnicity2,1,Hispanic or Latino,
,ethnicity2,2,Not Hispanic or Latino,
,ethnicity2,88,Not sure,
,sex_2,0,Female,
,sex_2,1,Male,
,followup_status,0,Did not have followup,
,followup_status,1,Received followup,
,goodorproblem,1,Good,
,goodorproblem,2,Problem,
,grade,0,Kindergarten,
,grade,1,1st grade,
,grade,2,2nd grade,
,grade,3,3rd grade,
,grade,4,4th grade,
,grade,5,5th grade,
,grade,99,Not attending school,
,hand,1,Right,
,hand,2,Left,
,ifyes,1,Rarely,
,ifyes,2,Sometimes,
,ifyes,3,Often,
,ifyes,4,Almost daily,
,income,1,"Under $5,000",
,income,2,"$5,000 to $9,999",
,income,3,"$10,000 to $19,999",
,income,4,"$20,000 to $29,999",
,income,5,"$30,000 to $39,999",
,income,6,"$40,000 to $49,999",
,income,7,"$50,000 to $59,999",
,income,8,"$60,000 and above",
,income,97,Prefer not to answer,
,income_rc,1,"Less than $20,000",
,income_rc,2,"$20,000 to $40,000",
,income_rc,3,"More than $40,000",
,inconsistencyscore,1,Acceptable,
,inconsistencyscore,2,Questionable,
,inconsistencyscore,3,Inconsistent,
,infoobtained,1,Chart review from previous ENT evaluation,
,infoobtained,2,Current ENT evaluation,
