folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative/CONSORT Diagram Components,change_in_symptoms,Change in symptoms,,choices,,symptoms,,,,chat_consorts
Administrative/CONSORT Diagram Components,completer_per_protocol,Participant completed the study as per protocol,,choices,,noyes,,,TRUE,chat_consorts
Administrative/CONSORT Diagram Components,crossovers,Did this child crossover?,,choices,,noyes,,,,chat_consorts
Administrative/CONSORT Diagram Components,followup_status,Patient received followup,,choices,,followup_status,,,,chat_consorts
Administrative/CONSORT Diagram Components,had_surgery,Child had surgery?,,choices,,noyes,tonsillectomy;adenoidectomy; t&a; early adenotonsillectomy,,,chat_consorts
Administrative/CONSORT Diagram Components,itt,Completed study (intention to treat),,choices,,noyes,,if ran7=1 then do; if had_surgery=0 then itt=0; else itt=1; end; if ran7=2 then do; if TST4=1 then itt=0; else itt=1; end,,chat_consorts
Administrative/CONSORT Diagram Components,surgery_status,Patient surgery status,,choices,,surgery_status,,,,chat_consorts
Administrative/CONSORT Diagram Components,treated,Has child been treated,,choices,,treatment,,,,chat_consorts
Administrative/CONSORT Diagram Components,treatment_failure,The Medical Monitor confirmed treatment failure?,,choices,,treatmentfailure,,,,chat_consorts
Administrative/Materials Provided,mat1,Were educational materials provided to the child?,,choices,,noyes,,,,chat_materials_forms
Administrative/Materials Provided,mat2,Was saline spray provided to the child?,,choices,,noyes,nasal ,,,chat_materials_forms
Administrative/Materials Provided,mat2b,Were directions and application uses reviewed with the parent or guardian?,,choices,,noyes,instructions,,,chat_materials_forms
Administrative/Randomization,arm,Treatment Arm,The randomization code assigned by the Data Management System (DMS).,choices,,randomizationarm,randomized;early adenotonsillectomy;eat;wwsc;watchful waiting plus supportive care,,TRUE,chat_random_forms
Administrative/Randomization,ran1,Has the participant met all eligibility criteria and signed the consent form; and has the principle investigator reviewed and certified the individual as being eligible?,,choices,,noyes,randomized,,,chat_random_forms
Administrative/Randomization,ran2,"Has the participant had an ear, nose, and throat (ENT) evaluation within 90 days of baseline, and is considered a candidate for surgery?",,choices,,noyes,randomized,,,chat_random_forms
Administrative/Randomization,ran3,"Has the participant had an overnight Polysomnography (PSG) evaluation, and is within the protocol defined limits?",,choices,,noyes,randomized,,,chat_random_forms
Administrative/Randomization,ran4,Was the child able to perform the neurocognitive testing?,,choices,,noyes,randomized,,,chat_random_forms
Administrative/Randomization,ran5,Date the parent signed the consent form,,integer,seconds from date of randomization,,randomized,,,chat_random_forms
Administrative/Randomization,ran6,Date of randomization,The original date has been removed as part of deidentification.,integer,seconds from date of randomization,,randomized,,,chat_random_forms
Administrative/Randomization,ran7,Randomization Code assigned by Data Management System (DMS),,choices,,treatmentarm,randomized,,,chat_random_forms
Administrative/Study Stop,sst1,"Did the participant complete the study, as per protocol?",,choices,,noyes,,,,chat_stop_forms
Administrative/Study Stop,sst2,Date the participant stopped,,integer,seconds from date of randomization,,dropout,,,chat_stop_forms
Administrative/Study Stop,sst3,What was the primary reason that the participant stopped?,,choices,,participant,dropout,,,chat_stop_forms
Administrative/Treatment Stop,tst1,Date the participant's treatment stopped,,integer,seconds from date of randomization,,dropout,,,chat_treatment_stop_forms
Administrative/Treatment Stop,tst2,What was the primary reason that the participant's treatment was stopped?,,choices,,ptreatment,,,,chat_treatment_stop_forms
Administrative/Treatment Stop,tst2a,"Other medical or neuropsychological necessitated reason, specify",,string,,,,,,chat_treatment_stop_forms
Administrative/Treatment Stop,tst3,Has the Medical Monitor confirmed this to be a treatment failure?,,choices,,noyes,,,,chat_treatment_stop_forms
Administrative/Treatment Stop,tst4,Did this participant crossover?,,choices,,noyes,,,,chat_treatment_stop_forms
Administrative/Treatment Stop,tst4a,"If yes, please indicate the primary reason",,choices,,crossover,,,,chat_treatment_stop_forms
Administrative/Treatment Stop,tst5,Will the participant be continuing with follow-up visits?,,choices,,noyes,,,,chat_treatment_stop_forms
Administrative/Unblinding of Participant,ubl1,Date participant was unblinded,,integer,seconds from date of randomization,,,,,chat_unblind_forms
Administrative/Unblinding of Participant,ubl2,What was the participant's randomization arm?,,choices,,randomizationarm,randomized;early adenotonsillectomy;eat;wwsc;watchful waiting plus supportive care,,,chat_unblind_forms
Administrative/Unblinding of Participant,ubl3,Why was the participant unblinded?,,choices,,unblinded,,,,chat_unblind_forms
Administrative/Unblinding of Participant,ubl_pidate,Date,,integer,seconds from date of randomization,,,,,chat_unblind_forms
Administrative,clusterid,Recoded Site ID for longitudinal models,The original Site ID was removed from the dataset because it was considered identifiable. This variable has obfuscated the original Site IDs.,choices,,cluster,,,TRUE,
Administrative,new_pid,Original Participant ID,This is the participant identifier that is present on Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC) datasets. Use `nsrrid` when linking these data to other data on the National Sleep Research Resource (NSRR).,identifier,,,pptid,,TRUE,
